Jogador;Time;Idade;Gols;Assist;xG;xA;PrgC;PrgP;PrgR;TklDef;TklMc;TklAta;Cortes;PassCmp;PassAtt;DistTot;DistPrg;Pos
Odsonne Edouard;Crystal Palace;24;0.25;0.10;0.21;0.06;1.45;1.60;5.00;0.35;0.60;0.30;0.15;14.8;20.6;165.3;26.8;Ata
Koulibaly;Chelsea;31;0.10;0.05;0.04;0.02;0.50;4.05;0.20;1.70;0.40;0.15;1.45;63.8;73.5;1121.1;451.1;Zag
Joao Moutinho;Wolves;35;0.00;0.10;0.07;0.13;1.16;6.67;1.62;1.21;1.06;0.30;0.91;42.9;53.4;790.3;208.3;Mei
Boubacar Kamara;Aston Villa;22;0.00;0.05;0.01;0.04;0.81;4.26;0.41;1.27;1.17;0.51;0.96;40.5;47.8;668.1;197.7;Vol
Daniel Podence;Wolves;26;0.30;0.00;0.20;0.13;2.18;4.82;7.51;0.66;0.46;0.25;0.36;22.6;33.7;373.7;117.3;Ata
Christian Norgaard;Brentford;28;0.05;0.15;0.08;0.16;0.20;3.72;0.41;1.07;1.48;0.10;1.73;31.0;41.4;504.0;174.8;Vol
Marcus Tavernier;Bournemouth;23;0.26;0.21;0.16;0.15;3.45;2.89;7.06;0.98;0.57;0.15;0.46;26.3;37.3;414.8;125.3;Mei
Emerson;Tottenham;23;0.10;0.05;0.09;0.03;2.44;4.15;5.34;1.97;0.62;0.21;0.93;43.9;54.9;693.2;196.7;Lat
Lewis Cook;Bournemouth;25;0.00;0.10;0.01;0.13;0.47;3.30;0.52;0.52;1.15;0.26;1.20;31.0;39.3;519.5;164.2;Mei
Mateo Kovacic;Chelsea;28;0.05;0.11;0.09;0.11;1.95;8.05;1.58;0.84;0.74;0.32;1.00;59.5;69.4;975.6;293.6;Mei
